Date,P,D,E,CPI,Date Fraction,Long Interest Rate GS10,Real Price,Real Dividend,Real TR Price ,Real Earnings,Real TR Scaled  Earnings ,CAPE,TR CAPE,Excess CAPE Yield,Monthly Total Bond Returns,Real Total BondReturns,10 year anualized stock real return,10 year annualized Real Return,Real 10 year excess annualizedReturns,Real TR Price  float,Real TR Scaled  Earnings  float,Excess CAPE Yield float,10 year anualized stock real return float,10 year annualized Real Return float,Real 10 year excess annualizedReturns float
1871.01,4.44,0.26,0.4,12.46,1871.04,5.32,97.25,5.69,97.25,8.76,8.76,,,,1.0,1.0,13.06%,9.25%,3.81%,97.25,8.76,,13.06,9.25,3.81
1871.02,4.5,0.26,0.4,12.84,1871.13,5.32,95.64,5.53,96.1,8.5,8.54,,,,1.0,0.97,13.09%,9.46%,3.62%,96.1,8.54,,13.09,9.46,3.62
1871.03,4.61,0.26,0.4,13.03,1871.21,5.33,96.55,5.45,97.47,8.38,8.46,,,,1.0,0.96,13.10%,9.62%,3.48%,97.47,8.46,,13.1,9.62,3.48
1871.04,4.74,0.26,0.4,12.56,1871.29,5.33,103.03,5.65,104.49,8.69,8.82,,,,1.0,1.0,12.21%,9.10%,3.11%,104.49,8.82,,12.21,9.1,3.11
1871.05,4.86,0.26,0.4,12.27,1871.38,5.33,108.1,5.78,110.12,8.9,9.06,,,,1.0,1.03,12.26%,8.95%,3.31%,110.12,9.06,,12.26,8.95,3.31
1871.06,4.82,0.26,0.4,12.08,1871.46,5.34,108.9,5.87,111.43,9.04,9.25,,,,1.0,1.05,12.31%,8.77%,3.54%,111.43,9.25,,12.31,8.77,3.54
1871.07,4.73,0.26,0.4,12.08,1871.54,5.34,106.87,5.87,109.85,9.04,9.29,,,,1.0,1.06,12.00%,8.66%,3.34%,109.85,9.29,,12.0,8.66,3.34
1871.08,4.79,0.26,0.4,11.89,1871.63,5.34,109.95,5.97,113.54,9.18,9.48,,,,1.0,1.08,11.19%,8.27%,2.93%,113.54,9.48,,11.19,8.27,2.93
1871.09,4.84,0.26,0.4,12.18,1871.71,5.35,108.5,5.83,112.53,8.97,9.3,,,,1.0,1.06,11.00%,8.10%,2.90%,112.53,9.3,,11.0,8.1,2.9
1871.1,4.59,0.26,0.4,12.37,1871.79,5.35,101.31,5.74,105.58,8.83,9.2,,,,1.0,1.05,11.48%,8.17%,3.31%,105.58,9.2,,11.48,8.17,3.31
1871.11,4.64,0.26,0.4,12.37,1871.88,5.35,102.41,5.74,107.22,8.83,9.24,,,,1.0,1.05,11.53%,8.26%,3.27%,107.22,9.24,,11.53,8.26,3.27
1871.12,4.74,0.26,0.4,12.65,1871.96,5.36,102.26,5.61,107.55,8.63,9.08,,,,1.0,1.03,11.21%,8.50%,2.71%,107.55,9.08,,11.21,8.5,2.71
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,104.85,5.68,110.77,8.68,9.17,,,,1.0,1.04,10.77%,8.49%,2.28%,110.77,9.17,,10.77,8.49,2.28
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,105.28,5.75,111.74,8.74,9.27,,,,1.0,1.04,10.38%,8.39%,1.98%,111.74,9.27,,10.38,8.39,1.98
1872.03,5.04,0.27,0.41,12.84,1872.21,5.4,107.12,5.74,114.2,8.66,9.23,,,,1.0,1.03,10.17%,8.55%,1.62%,114.2,9.23,,10.17,8.55,1.62
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,107.7,5.68,115.32,8.52,9.13,,,,1.0,1.01,10.01%,8.69%,1.32%,115.32,9.13,,10.01,8.69,1.32
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,107.7,5.75,115.84,8.58,9.22,,,,1.0,1.01,9.78%,8.59%,1.19%,115.84,9.22,,9.78,8.59,1.19
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,107.44,5.86,116.08,8.69,9.39,,,,1.0,1.02,9.65%,8.41%,1.24%,116.08,9.39,,9.65,8.41,1.24
1872.07,5.1,0.28,0.42,12.84,1872.54,5.47,108.4,6.02,117.65,8.87,9.63,,,,1.0,1.04,10.25%,8.35%,1.90%,117.65,9.63,,10.25,8.35,1.9
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,106.33,6.05,115.96,8.86,9.66,,,,1.0,1.04,10.68%,8.32%,2.36%,115.96,9.66,,10.68,8.32,2.36
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,103.67,6.07,113.61,8.85,9.7,,,,1.0,1.03,11.37%,8.70%,2.67%,113.61,9.7,,11.37,8.7,2.67
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,106.42,6.28,117.2,9.1,10.02,,,,1.0,1.06,10.87%,8.56%,2.31%,117.2,10.02,,10.87,8.56,2.31
1872.11,4.95,0.3,0.43,13.13,1872.88,5.54,102.92,6.17,113.91,8.89,9.84,,,,1.0,1.03,10.86%,8.98%,1.88%,113.91,9.84,,10.86,8.98,1.88
1872.12,5.07,0.3,0.43,12.94,1872.96,5.56,106.97,6.33,118.97,9.07,10.09,,,,1.0,1.05,10.59%,8.92%,1.67%,118.97,10.09,,10.59,8.92,1.67
1873.01,5.11,0.3,0.43,12.94,1873.04,5.58,107.81,6.38,120.5,9.12,10.2,,,,1.01,1.05,10.44%,8.91%,1.52%,120.5,10.2,,10.44,8.91,1.52
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,106.31,6.3,119.41,8.98,10.09,,,,1.01,1.03,10.24%,9.02%,1.21%,119.41,10.09,,10.24,9.02,1.21
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,105.48,6.35,119.08,9.03,10.19,,,,1.01,1.04,10.56%,9.10%,1.46%,119.08,10.19,,10.56,9.1,1.46
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,104.04,6.4,118.05,9.08,10.31,,,,1.01,1.05,11.04%,9.18%,1.86%,118.05,10.31,,11.04,9.18,1.86
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,106.54,6.59,121.51,9.34,10.65,,,,1.01,1.07,10.69%,9.03%,1.66%,121.51,10.65,,10.69,9.03,1.66
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,108.25,6.85,124.11,9.67,11.09,,,,1.01,1.11,10.93%,9.00%,1.93%,124.11,11.09,,10.93,9.0,1.93
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,108.03,6.9,124.52,9.73,11.21,,,,1.01,1.12,11.00%,9.20%,1.80%,124.52,11.21,,11.0,9.2,1.8
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,108.03,6.96,125.19,9.78,11.34,,,,1.01,1.12,10.48%,9.17%,1.31%,125.19,11.34,,10.48,9.17,1.31
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,99.77,7.01,116.29,9.84,11.46,,,,1.01,1.13,11.59%,9.26%,2.33%,116.29,11.46,,11.59,9.26,2.33
1873.1,4.19,0.33,0.46,12.27,1873.79,5.5,93.2,7.23,109.33,10.12,11.87,,,,1.01,1.16,12.02%,8.99%,3.04%,109.33,11.87,,12.02,8.99,3.04
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,92.74,7.52,109.52,10.5,12.4,,,,1.01,1.21,12.34%,8.73%,3.61%,109.52,12.4,,12.34,8.73,3.61
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,99.08,7.4,117.75,10.31,12.25,,,,1.01,1.18,11.23%,8.85%,2.37%,117.75,12.25,,11.23,8.85,2.37
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,102.85,7.28,122.95,10.15,12.14,,,,1.01,1.17,10.47%,9.00%,1.47%,122.95,12.14,,10.47,9.0,1.47
1874.02,4.8,0.33,0.46,12.37,1874.13,5.44,105.94,7.28,127.37,10.15,12.21,,,,1.01,1.18,10.43%,8.96%,1.47%,127.37,12.21,,10.43,8.96,1.47
1874.03,4.73,0.33,0.46,12.37,1874.21,5.4,104.4,7.28,126.24,10.15,12.28,,,,1.01,1.19,10.54%,8.92%,1.62%,126.24,12.28,,10.54,8.92,1.62
1874.04,4.6,0.33,0.46,12.18,1874.29,5.37,103.12,7.4,125.44,10.31,12.54,,,,1.01,1.22,10.39%,8.95%,1.44%,125.44,12.54,,10.39,8.95,1.44
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,101.22,7.46,123.88,10.39,12.72,,,,1.01,1.23,9.89%,9.06%,0.84%,123.88,12.72,,9.89,9.06,0.84
1874.06,4.46,0.33,0.46,11.8,1874.46,5.3,103.2,7.64,127.09,10.64,13.11,,,,1.01,1.27,9.22%,8.76%,0.46%,127.09,13.11,,9.22,8.76,0.46
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,102.38,7.57,126.85,10.56,13.08,,,,1.01,1.27,9.43%,8.93%,0.50%,126.85,13.08,,9.43,8.93,0.5
1874.08,4.47,0.33,0.46,11.8,1874.63,5.24,103.43,7.64,128.95,10.64,13.27,,,,1.01,1.29,9.98%,8.81%,1.17%,128.95,13.27,,9.98,8.81,1.17
1874.09,4.54,0.33,0.46,11.8,1874.71,5.2,105.05,7.64,131.76,10.64,13.35,,,,1.01,1.3,9.57%,8.89%,0.68%,131.76,13.35,,9.57,8.89,0.68
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,106.54,7.76,134.44,10.82,13.65,,,,1.01,1.33,9.17%,8.80%,0.37%,134.44,13.65,,9.17,8.8,0.37
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,108.37,7.83,137.57,10.91,13.85,,,,1.01,1.35,9.01%,8.92%,0.09%,137.57,13.85,,9.01,8.92,0.09
1874.12,4.54,0.33,0.46,11.51,1874.96,5.1,107.66,7.83,137.5,10.91,13.93,,,,1.01,1.36,9.18%,9.01%,0.17%,137.5,13.93,,9.18,9.01,0.17
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,107.66,7.77,138.32,10.71,13.76,,,,1.01,1.37,8.92%,8.97%,-0.05%,138.32,13.76,,8.92,8.97,-0.05
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,107.42,7.71,138.84,10.51,13.59,,,,1.01,1.38,9.15%,8.81%,0.34%,138.84,13.59,,9.15,8.81,0.34
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,108.84,7.65,141.51,10.32,13.41,,,,1.01,1.39,9.28%,9.03%,0.25%,141.51,13.41,,9.28,9.03,0.25
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,109.36,7.53,143,10.04,13.12,,,,1.01,1.39,9.07%,8.95%,0.12%,143.0,13.12,,9.07,8.95,0.12
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,107.78,7.66,141.76,10.09,13.27,,,,1.01,1.43,9.35%,8.90%,0.45%,141.76,13.27,,9.35,8.9,0.45
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,107.42,7.73,142.13,10.05,13.3,,,,1.01,1.47,9.59%,8.94%,0.65%,142.13,13.3,,9.59,8.94,0.65
1875.07,4.39,0.31,0.4,11.13,1875.54,4.83,107.66,7.66,143.3,9.85,13.11,,,,1.01,1.48,9.83%,8.77%,1.05%,143.3,13.11,,9.83,8.77,1.05
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,107.23,7.54,143.57,9.56,12.8,,,,1.01,1.48,10.46%,8.83%,1.63%,143.57,12.8,,10.46,8.83,1.63
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,107.17,7.54,144.32,9.44,12.71,,,,1.01,1.5,10.44%,8.83%,1.61%,144.32,12.71,,10.44,8.83,1.61
1875.1,4.3,0.31,0.38,11.13,1875.79,4.71,105.45,7.48,142.85,9.24,12.51,,,,1.01,1.51,11.23%,8.80%,2.43%,142.85,12.51,,11.23,8.8,2.43
1875.11,4.37,0.3,0.37,11.04,1875.88,4.67,108.09,7.48,147.27,9.11,12.41,,,,1.01,1.53,11.50%,8.54%,2.96%,147.27,12.41,,11.5,8.54,2.96
1875.12,4.37,0.3,0.36,10.94,1875.96,4.63,109.03,7.49,149.4,8.98,12.31,,,,1.01,1.56,11.04%,8.16%,2.88%,149.4,12.31,,11.04,8.16,2.88
1876.01,4.46,0.3,0.35,10.85,1876.04,4.59,112.26,7.55,154.68,8.89,12.25,,,,1.0,1.58,10.95%,8.28%,2.67%,154.68,12.25,,10.95,8.28,2.67
1876.02,4.52,0.3,0.35,10.85,1876.13,4.58,113.77,7.55,157.62,8.73,12.09,,,,1.0,1.59,11.00%,8.25%,2.75%,157.62,12.09,,11.0,8.25,2.75
1876.03,4.51,0.3,0.34,10.85,1876.21,4.57,113.51,7.55,158.15,8.56,11.92,,,,1.0,1.6,10.90%,8.35%,2.55%,158.15,11.92,,10.9,8.35,2.55
1876.04,4.34,0.3,0.33,10.75,1876.29,4.56,110.2,7.62,154.42,8.46,11.86,,,,1.0,1.62,11.19%,8.35%,2.84%,154.42,11.86,,11.19,8.35,2.84
1876.05,4.18,0.3,0.33,10.37,1876.38,4.54,110.03,7.9,155.1,8.6,12.12,,,,1.0,1.69,11.24%,8.20%,3.04%,155.1,12.12,,11.24,8.2,3.04
1876.06,4.15,0.3,0.32,10.09,1876.46,4.53,112.34,8.12,159.3,8.66,12.28,,,,1.0,1.74,11.62%,8.00%,3.62%,159.3,12.28,,11.62,8.0,3.62
1876.07,4.1,0.3,0.31,10.09,1876.54,4.52,110.98,8.12,158.34,8.48,12.1,,,,1.0,1.75,11.76%,7.83%,3.93%,158.34,12.1,,11.76,7.83,3.93
1876.08,3.93,0.3,0.31,10.18,1876.63,4.51,105.39,8.04,151.32,8.22,11.81,,,,1.0,1.74,12.25%,7.77%,4.48%,151.32,11.81,,12.25,7.77,4.48
1876.09,3.69,0.3,0.3,10.28,1876.71,4.5,98.03,7.97,141.71,7.97,11.52,,,,1.0,1.74,13.32%,7.84%,5.48%,141.71,11.52,,13.32,7.84,5.48
1876.1,3.67,0.3,0.29,10.47,1876.79,4.49,95.73,7.83,139.33,7.65,11.13,,,,1.0,1.71,13.84%,8.01%,5.83%,139.33,11.13,,13.84,8.01,5.83
1876.11,3.6,0.3,0.29,10.56,1876.87,4.47,93.06,7.75,136.38,7.41,10.86,,,,1.0,1.71,14.39%,8.07%,6.32%,136.38,10.86,,14.39,8.07,6.32
1876.12,3.58,0.3,0.28,10.75,1876.96,4.46,90.9,7.62,134.15,7.11,10.49,,,,1.0,1.68,14.18%,8.10%,6.08%,134.15,10.49,,14.18,8.1,6.08
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,88.57,7.26,131.6,7.03,10.44,,,,1.0,1.66,14.04%,8.00%,6.04%,131.6,10.44,,14.04,8.0,6.04
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,85.57,7.22,128.03,7.26,10.86,,,,1.0,1.71,14.18%,7.56%,6.61%,128.03,10.86,,14.18,7.56,6.61
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,85.01,7.31,128.1,7.64,11.52,,,,1.0,1.8,14.47%,7.05%,7.43%,128.1,11.52,,14.47,7.05,7.43
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,76.69,6.87,116.43,7.48,11.35,,,,1.0,1.76,15.87%,7.32%,8.56%,116.43,11.35,,15.87,7.32,8.56
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,75.32,6.51,115.17,7.39,11.29,,,,1.0,1.74,16.23%,7.48%,8.75%,115.17,11.29,,16.23,7.48,8.75
1877.06,2.73,0.25,0.29,10.09,1877.46,4.4,73.9,6.63,113.85,7.85,12.09,,,,1.0,1.84,16.21%,6.99%,9.21%,113.85,12.09,,16.21,6.99,9.21
1877.07,2.85,0.24,0.29,10.18,1877.54,4.4,76.43,6.32,118.55,7.82,12.13,,,,1.0,1.83,15.63%,7.20%,8.43%,118.55,12.13,,15.63,7.2,8.43
1877.08,3.05,0.23,0.29,9.8,1877.62,4.39,84.97,6.32,132.62,8.17,12.75,,,,1.0,1.91,13.96%,6.63%,7.32%,132.62,12.75,,13.96,6.63,7.32
1877.09,3.24,0.22,0.3,9.7,1877.71,4.38,91.14,6.12,143.05,8.3,13.02,,,,1.0,1.94,13.13%,6.63%,6.50%,143.05,13.02,,13.13,6.63,6.5
1877.1,3.31,0.21,0.3,9.7,1877.79,4.37,93.11,5.86,146.91,8.35,13.17,,,,1.0,1.95,12.35%,6.48%,5.87%,146.91,13.17,,12.35,6.48,5.87
1877.11,3.26,0.2,0.3,9.51,1877.87,4.36,93.54,5.72,148.34,8.56,13.57,,,,1.0,2.0,12.37%,6.12%,6.25%,148.34,13.57,,12.37,6.12,6.25
1877.12,3.25,0.19,0.3,9.51,1877.96,4.35,93.25,5.45,148.6,8.61,13.72,,,,1.0,2.0,12.07%,5.85%,6.22%,148.6,13.72,,12.07,5.85,6.22
1878.01,3.25,0.19,0.3,9.23,1878.04,4.34,96.14,5.6,153.94,8.9,14.25,,,,1.0,2.08,11.67%,5.38%,6.30%,153.94,14.25,,11.67,5.38,6.3
1878.02,3.18,0.19,0.3,9.13,1878.12,4.33,95.05,5.63,152.95,9.02,14.51,,,,1.0,2.11,11.85%,5.39%,6.46%,152.95,14.51,,11.85,5.39,6.46
1878.03,3.24,0.19,0.3,8.94,1878.21,4.32,98.9,5.72,159.91,9.23,14.93,,,,1.0,2.16,10.97%,5.17%,5.80%,159.91,14.93,,10.97,5.17,5.8
1878.04,3.33,0.19,0.3,8.85,1878.29,4.31,102.74,5.76,166.9,9.36,15.2,,,,1.0,2.19,10.71%,5.18%,5.53%,166.9,15.2,,10.71,5.18,5.53
1878.05,3.34,0.19,0.3,8.56,1878.37,4.3,106.48,5.92,173.78,9.7,15.83,,,,1.0,2.28,10.59%,4.96%,5.63%,173.78,15.83,,10.59,4.96,5.63
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,111.19,6.03,182.28,9.94,16.3,,,,1.0,2.34,9.89%,4.85%,5.04%,182.28,16.3,,9.89,4.85,5.04
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,112.19,5.94,184.74,9.86,16.23,,,,1.0,2.32,9.94%,4.85%,5.09%,184.74,16.23,,9.94,4.85,5.09
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,109.99,5.84,181.92,9.78,16.17,,,,1.0,2.31,10.38%,4.97%,5.42%,181.92,16.17,,10.38,4.97,5.42
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,112.22,5.82,186.41,9.8,16.28,,,,1.0,2.32,10.42%,4.97%,5.46%,186.41,16.28,,10.42,4.97,5.46
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,112.19,5.86,187.17,9.94,16.58,,,,1.0,2.35,10.23%,4.73%,5.50%,187.17,16.58,,10.23,4.73,5.5
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,113.14,5.9,189.57,10.08,16.89,,,,1.0,2.39,9.77%,4.49%,5.28%,189.57,16.89,,9.77,4.49,5.28
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,115.11,6.01,193.7,10.34,17.41,,,,1.0,2.46,9.37%,4.25%,5.11%,193.7,17.41,,9.37,4.25,5.11
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,118.07,5.99,199.53,10.42,17.6,,,,1.0,2.44,9.68%,4.74%,4.94%,199.53,17.6,,9.68,4.74,4.94
1879.02,3.71,0.18,0.32,8.37,1879.12,4.2,120.97,5.98,205.27,10.49,17.8,,,,1.0,2.42,9.66%,4.97%,4.69%,205.27,17.8,,9.66,4.97,4.69
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,120.38,6.1,205.13,10.8,18.41,,,,1.0,2.46,9.61%,4.96%,4.66%,205.13,18.41,,9.61,4.96,4.66
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,125.78,6.23,215.23,11.12,19.03,,,,1.0,2.5,9.10%,4.82%,4.29%,215.23,19.03,,9.1,4.82,4.29
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,131.45,6.28,225.83,11.32,19.44,,,,1.0,2.52,9.18%,5.06%,4.12%,225.83,19.44,,9.18,5.06,4.12
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,133.68,6.41,230.56,11.65,20.09,,,,1.0,2.56,9.17%,4.92%,4.26%,230.56,20.09,,9.17,4.92,4.26
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,134.79,6.4,233.4,11.7,20.27,,,,1.0,2.54,8.85%,5.02%,3.83%,233.4,20.27,,8.85,5.02,3.83
1879.08,4.07,0.19,0.36,8.18,1879.62,4.1,135.79,6.45,236.07,11.9,20.69,,,,1.0,2.55,8.91%,5.00%,3.91%,236.07,20.69,,8.91,5.0,3.91
1879.09,4.22,0.2,0.36,8.47,1879.71,4.09,136.05,6.29,237.43,11.69,20.4,,,,1.0,2.48,9.01%,5.21%,3.80%,237.43,20.4,,9.01,5.21,3.8
1879.1,4.68,0.2,0.37,8.94,1879.79,4.07,142.86,6.0,250.18,11.24,19.69,,,,1.0,2.36,8.28%,5.77%,2.51%,250.18,19.69,,8.28,5.77,2.51
1879.11,4.93,0.2,0.37,9.42,1879.87,4.05,142.89,5.75,251.07,10.85,19.06,,,,1.0,2.25,8.18%,6.31%,1.87%,251.07,19.06,,8.18,6.31,1.87
1879.12,4.92,0.2,0.38,9.7,1879.96,4.04,138.4,5.63,244.02,10.69,18.85,,,,1.0,2.19,8.33%,6.47%,1.86%,244.02,18.85,,8.33,6.47,1.86
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,139.64,5.6,247.02,10.64,18.81,,,,1.01,2.14,8.62%,7.03%,1.59%,247.02,18.81,,8.62,7.03,1.59
1880.02,5.2,0.21,0.4,9.99,1880.12,3.99,142.1,5.74,252.22,10.88,19.32,,,,1.01,2.15,8.31%,6.99%,1.33%,252.22,19.32,,8.31,6.99,1.33
1880.03,5.3,0.22,0.41,10.09,1880.21,3.97,143.47,5.82,255.5,11.03,19.64,,,,1.01,2.14,8.13%,7.04%,1.08%,255.5,19.64,,8.13,7.04,1.08
1880.04,5.18,0.22,0.42,9.7,1880.29,3.94,145.72,6.19,260.43,11.72,20.95,,,,1.01,2.24,8.18%,6.59%,1.59%,260.43,20.95,,8.18,6.59,1.59
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,138.25,6.52,248.05,12.34,22.14,,,,1.01,2.32,9.07%,6.10%,2.97%,248.05,22.14,,9.07,6.1,2.97
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,141.69,6.8,255.25,12.87,23.18,,,,1.01,2.38,8.71%,5.84%,2.87%,255.25,23.18,,8.71,5.84,2.87
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,148.2,6.95,268.02,13.14,23.76,,,,1.01,2.39,8.14%,5.80%,2.34%,268.02,23.76,,8.14,5.8,2.34
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,153.52,7.1,278.71,13.41,24.34,,,,1.01,2.41,7.11%,5.38%,1.73%,278.71,24.34,,7.11,5.38,1.73
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,151.66,7.17,276.42,13.54,24.68,,,,1.01,2.4,6.93%,5.32%,1.61%,276.42,24.68,,6.93,5.32,1.61
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,156.06,7.32,285.54,13.81,25.27,,,,1.01,2.41,6.13%,5.28%,0.85%,285.54,25.27,,6.13,5.28,0.85
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,162.59,7.39,298.63,13.94,25.59,,,,1.01,2.4,5.15%,5.60%,-0.45%,298.63,25.59,,5.15,5.6,-0.45
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,167.57,7.46,308.91,14.06,25.92,,,,1.01,2.39,4.59%,5.66%,-1.08%,308.91,25.92,,4.59,5.66,-1.08
1881.01,6.19,0.27,0.49,9.42,1881.04,3.7,179.4,7.68,331.91,14.08,26.05,18.47,24.14,-1.05%,1.0,2.42,4.54%,5.65%,-1.11%,331.91,26.05,-1.05,4.54,5.65,-1.11
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,177.04,7.75,328.72,13.82,25.66,18.15,23.66,-1.14%,1.0,2.41,4.68%,5.62%,-0.94%,328.72,25.66,-1.14,4.68,5.62,-0.94
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,179.04,7.89,333.67,13.7,25.53,18.27,23.77,-1.31%,1.0,2.42,4.24%,5.49%,-1.25%,333.67,25.53,-1.31,4.24,5.49,-1.25
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,176.71,7.95,330.55,13.45,25.15,17.95,23.31,-0.75%,1.0,2.4,4.60%,5.46%,-0.87%,330.55,25.15,-0.75,4.6,5.46,-0.87
1881.05,6.5,0.29,0.47,9.51,1881.37,3.67,186.51,8.18,350.15,13.46,25.28,18.87,24.46,-0.89%,1.0,2.43,4.12%,5.48%,-1.36%,350.15,25.28,-0.89,4.12,5.48,-1.36
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,188.8,8.32,355.76,13.34,25.14,19.03,24.62,-0.77%,1.0,2.44,4.03%,5.73%,-1.70%,355.76,25.14,-0.77,4.03,5.73,-1.7
1881.07,6.35,0.3,0.46,9.61,1881.54,3.66,180.4,8.38,341.25,13.09,24.76,18.12,23.4,-0.40%,1.0,2.43,4.46%,5.96%,-1.50%,341.25,24.76,-0.4,4.46,5.96,-1.5
1881.08,6.2,0.3,0.46,9.8,1881.62,3.65,172.72,8.36,328.03,12.72,24.16,17.29,22.29,0.21%,1.0,2.39,5.26%,6.16%,-0.91%,328.03,24.16,0.21,5.26,6.16,-0.91
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,167.6,8.18,319.61,12.13,23.14,16.72,21.54,0.56%,1.0,2.31,6.53%,6.69%,-0.17%,319.61,23.14,0.56,6.53,6.69,-0.17
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,163.39,8.24,312.89,11.91,22.81,16.26,20.93,0.67%,1.0,2.29,6.79%,6.79%,0.00%,312.89,22.81,0.67,6.79,6.79,0.0
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,165.99,8.45,319.22,11.91,22.91,16.48,21.19,0.51%,1.0,2.32,6.58%,6.82%,-0.23%,319.22,22.91,0.51,6.58,6.82,-0.23
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,161.16,8.58,311.31,11.8,22.79,15.96,20.51,0.49%,1.0,2.33,7.21%,6.81%,0.40%,311.31,22.79,0.49,7.21,6.81,0.4
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,158.75,8.58,308.03,11.78,22.85,15.68,20.14,0.61%,1.0,2.34,7.83%,7.08%,0.75%,308.03,22.85,0.61,7.83,7.08,0.75
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,153.83,8.5,299.85,11.64,22.7,15.15,19.46,0.92%,1.0,2.33,8.18%,7.17%,1.01%,299.85,22.7,0.92,8.18,7.17,1.01
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,153.56,8.5,300.72,11.62,22.76,15.09,19.38,0.80%,1.0,2.33,8.59%,7.45%,1.14%,300.72,22.76,0.8,8.59,7.45,1.14
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,152.15,8.42,299.33,11.5,22.62,14.92,19.15,0.75%,1.0,2.32,8.80%,7.68%,1.12%,299.33,22.62,0.75,8.8,7.68,1.12
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,148.94,8.35,294.39,11.37,22.47,14.57,18.7,1.00%,1.0,2.3,9.02%,7.77%,1.25%,294.39,22.47,1.0,9.02,7.77,1.25
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,146.83,8.27,291.56,11.24,22.33,14.33,18.39,1.27%,1.0,2.29,9.10%,7.85%,1.25%,291.56,22.33,1.27,9.1,7.85,1.25
